LSOA21CD,LSOA21NM,LSOA21NMW,WD25CD,WD25NM,WD25NMW,LAD25CD,LAD25NM,LAD25NMW,ObjectId
E01020526,Dorset 032A,,E05012698,Dorchester West,,E06000059,Dorset,,7857
E01020495,Dorset 019B,,E05012683,Beaminster,,E06000059,Dorset,,7858
E01020483,Dorset 042F,,E05012722,Swanage,,E06000059,Dorset,,7861
E01020564,Dorset 048B,,E05012709,Portland,,E06000059,Dorset,,7862
E01032644,Dorset 031B,,E05012698,Dorchester West,,E06000059,Dorset,,7864
E01020448,Dorset 014E,,E05012684,Blackmore Vale,,E06000059,Dorset,,7865
E01020481,Dorset 042D,,E05012722,Swanage,,E06000059,Dorset,,7868
E01020562,Dorset 048A,,E05012709,Portland,,E06000059,Dorset,,7869
E01020527,Dorset 032B,,E05012698,Dorchester West,,E06000059,Dorset,,7871
E01020441,Dorset 014D,,E05012684,Blackmore Vale,,E06000059,Dorset,,7872
E01020482,Dorset 042E,,E05012722,Swanage,,E06000059,Dorset,,7875
E01033200,Dorset 047C,,E05012709,Portland,,E06000059,Dorset,,7876
E01020524,Dorset 034E,,E05012698,Dorchester West,,E06000059,Dorset,,7878
E01020438,Dorset 011D,,E05012685,Blandford,,E06000059,Dorset,,7879
E01015398,"Bournemouth, Christchurch and Poole 004D",,E05012654,Broadstone,,E06000058,"Bournemouth, Christchurch and Poole",,7880
E01020484,Dorset 042G,,E05012722,Swanage,,E06000059,Dorset,,7882
E01020430,Dorset 014A,,E05012710,Puddletown & Lower Winterborne,,E06000059,Dorset,,7883
E01032643,Dorset 031A,,E05012698,Dorchester West,,E06000059,Dorset,,7884
E01020480,Dorset 042C,,E05012722,Swanage,,E06000059,Dorset,,7886
E01015400,"Bournemouth, Christchurch and Poole 004F",,E05012654,Broadstone,,E06000058,"Bournemouth, Christchurch and Poole",,7888
E01020375,Dorset 020A,,E05012700,Ferndown North,,E06000059,Dorset,,7889
E01020431,Dorset 014B,,E05012710,Puddletown & Lower Winterborne,,E06000059,Dorset,,7890
E01020436,Dorset 011B,,E05012685,Blandford,,E06000059,Dorset,,7892
E01015397,"Bournemouth, Christchurch and Poole 004C",,E05012654,Broadstone,,E06000058,"Bournemouth, Christchurch and Poole",,7893
E01020479,Dorset 042B,,E05012722,Swanage,,E06000059,Dorset,,7895
E01020435,Dorset 011A,,E05012685,Blandford,,E06000059,Dorset,,7896
E01020432,Dorset 014C,,E05012710,Puddletown & Lower Winterborne,,E06000059,Dorset,,7897
E01020390,Dorset 018A,,E05012700,Ferndown North,,E06000059,Dorset,,7898
E01015401,"Bournemouth, Christchurch and Poole 004G",,E05012654,Broadstone,,E06000058,"Bournemouth, Christchurch and Poole",,7900
E01020579,Dorset 041D,,E05012723,Upwey & Broadwey,,E06000059,Dorset,,7902
E01020437,Dorset 011C,,E05012685,Blandford,,E06000059,Dorset,,7903
E01020540,Dorset 022E,,E05012710,Puddletown & Lower Winterborne,,E06000059,Dorset,,7904
E01020392,Dorset 018C,,E05012700,Ferndown North,,E06000059,Dorset,,7905
E01020570,Dorset 038C,,E05012723,Upwey & Broadwey,,E06000059,Dorset,,7909
E01020439,Dorset 011E,,E05012685,Blandford,,E06000059,Dorset,,7910
E01020553,Dorset 044A,,E05012711,Radipole,,E06000059,Dorset,,7911
E01020376,Dorset 020B,,E05012700,Ferndown North,,E06000059,Dorset,,7912
E01020416,Dorset 010A,,E05012724,Verwood,,E06000059,Dorset,,7916
E01020539,Dorset 022D,,E05012687,Chalk Valleys,,E06000059,Dorset,,7917
E01020560,Dorset 040D,,E05012711,Radipole,,E06000059,Dorset,,7918
E01020408,Dorset 020E,,E05012700,Ferndown North,,E06000059,Dorset,,7919
E01020412,Dorset 012B,,E05012724,Verwood,,E06000059,Dorset,,7923
E01020510,Dorset 022B,,E05012688,Charminster St Mary's,,E06000059,Dorset,,7926
E01020391,Dorset 018B,,E05012700,Ferndown North,,E06000059,Dorset,,7927
E01020576,Dorset 041C,,E05012711,Radipole,,E06000059,Dorset,,7929
E01020529,Dorset 022C,,E05012688,Charminster St Mary's,,E06000059,Dorset,,7930
E01020415,Dorset 012E,,E05012724,Verwood,,E06000059,Dorset,,7931
E01020393,Dorset 018D,,E05012701,Ferndown South,,E06000059,Dorset,,7932
E01020580,Dorset 041E,,E05012711,Radipole,,E06000059,Dorset,,7935
E01015333,"Bournemouth, Christchurch and Poole 006B",,E05012676,Redhill & Northbourne,,E06000058,"Bournemouth, Christchurch and Poole",,7936
E01020509,Dorset 022A,,E05012688,Charminster St Mary's,,E06000059,Dorset,,7937
E01020418,Dorset 010C,,E05012724,Verwood,,E06000059,Dorset,,7938
E01020395,Dorset 024A,,E05012701,Ferndown South,,E06000059,Dorset,,7939
E01020561,Dorset 040E,,E05012711,Radipole,,E06000059,Dorset,,7942
E01015332,"Bournemouth, Christchurch and Poole 006A",,E05012676,Redhill & Northbourne,,E06000058,"Bournemouth, Christchurch and Poole",,7943
E01020515,Dorset 037D,,E05012690,Chickerell,,E06000059,Dorset,,7944
E01020413,Dorset 012C,,E05012724,Verwood,,E06000059,Dorset,,7945
E01034372,Dorset 024E,,E05012701,Ferndown South,,E06000059,Dorset,,7946
E01015427,"Bournemouth, Christchurch and Poole 042A",,E05012663,Hamworthy,,E06000058,"Bournemouth, Christchurch and Poole",,7947
E01020588,Dorset 046C,,E05012712,Rodwell & Wyke,,E06000059,Dorset,,7949
E01020514,Dorset 037C,,E05012690,Chickerell,,E06000059,Dorset,,7951
E01020420,Dorset 010E,,E05012724,Verwood,,E06000059,Dorset,,7952
E01020394,Dorset 018E,,E05012701,Ferndown South,,E06000059,Dorset,,7953
E01015430,"Bournemouth, Christchurch and Poole 042D",,E05012663,Hamworthy,,E06000058,"Bournemouth, Christchurch and Poole",,7954
E01015406,"Bournemouth, Christchurch and Poole 048E",,E05012656,Canford Cliffs,,E06000058,"Bournemouth, Christchurch and Poole",,7955
E01015429,"Bournemouth, Christchurch and Poole 042C",,E05012663,Hamworthy,,E06000058,"Bournemouth, Christchurch and Poole",,7956
E01020419,Dorset 010D,,E05012724,Verwood,,E06000059,Dorset,,7957
E01034373,Dorset 024F,,E05012701,Ferndown South,,E06000059,Dorset,,7958
E01020587,Dorset 046B,,E05012712,Rodwell & Wyke,,E06000059,Dorset,,7959
E01020516,Dorset 037E,,E05012690,Chickerell,,E06000059,Dorset,,7963
E01020417,Dorset 010B,,E05012724,Verwood,,E06000059,Dorset,,7965
E01020583,Dorset 045A,,E05012712,Rodwell & Wyke,,E06000059,Dorset,,7966
E01020464,Dorset 001D,,E05012702,Gillingham,,E06000059,Dorset,,7967
E01020578,Dorset 043D,,E05012690,Chickerell,,E06000059,Dorset,,7969
E01020414,Dorset 012D,,E05012724,Verwood,,E06000059,Dorset,,7972
E01020581,Dorset 044E,,E05012712,Rodwell & Wyke,,E06000059,Dorset,,7973
E01020443,Dorset 001A,,E05012702,Gillingham,,E06000059,Dorset,,7974
E01020513,Dorset 037B,,E05012690,Chickerell,,E06000059,Dorset,,7976
E01020486,Dorset 033D,,E05012725,Wareham,,E06000059,Dorset,,7979
E01020584,Dorset 045B,,E05012712,Rodwell & Wyke,,E06000059,Dorset,,7980
E01020450,Dorset 002B,,E05012702,Gillingham,,E06000059,Dorset,,7981
E01020379,Dorset 017B,,E05012691,Colehill & Wimborne Minster East,,E06000059,Dorset,,7983
E01020488,Dorset 033F,,E05012725,Wareham,,E06000059,Dorset,,7986
E01020582,Dorset 044F,,E05012712,Rodwell & Wyke,,E06000059,Dorset,,7987
E01033156,Dorset 002D,,E05012702,Gillingham,,E06000059,Dorset,,7988
E01020476,Dorset 033A,,E05012725,Wareham,,E06000059,Dorset,,7992
E01020585,Dorset 045C,,E05012712,Rodwell & Wyke,,E06000059,Dorset,,7993
E01020447,Dorset 001B,,E05012702,Gillingham,,E06000059,Dorset,,7994
E01020586,Dorset 046A,,E05012712,Rodwell & Wyke,,E06000059,Dorset,,7995
E01033158,Dorset 002E,,E05012702,Gillingham,,E06000059,Dorset,,7996
E01020487,Dorset 033E,,E05012725,Wareham,,E06000059,Dorset,,7997
E01020589,Dorset 046D,,E05012712,Rodwell & Wyke,,E06000059,Dorset,,7999
E01020406,Dorset 015D,,E05012713,St Leonards & St Ives,,E06000059,Dorset,,8000
E01020477,Dorset 033B,,E05012725,Wareham,,E06000059,Dorset,,8027
E01020467,Dorset 039B,,E05012725,Wareham,,E06000059,Dorset,,8059
E01020485,Dorset 033C,,E05012725,Wareham,,E06000059,Dorset,,8064
E01020423,Dorset 016C,,E05012726,West Moors & Three Legged Cross,,E06000059,Dorset,,8070
E01020422,Dorset 016B,,E05012726,West Moors & Three Legged Cross,,E06000059,Dorset,,8124
E01020424,Dorset 016D,,E05012726,West Moors & Three Legged Cross,,E06000059,Dorset,,8131
E01020425,Dorset 016E,,E05012726,West Moors & Three Legged Cross,,E06000059,Dorset,,8133
E01020421,Dorset 016A,,E05012726,West Moors & Three Legged Cross,,E06000059,Dorset,,8135
E01020411,Dorset 012A,,E05012726,West Moors & Three Legged Cross,,E06000059,Dorset,,8137
E01020401,Dorset 024C,,E05012727,West Parley,,E06000059,Dorset,,8143
E01020402,Dorset 024D,,E05012727,West Parley,,E06000059,Dorset,,8149
E01020400,Dorset 024B,,E05012727,West Parley,,E06000059,Dorset,,8155
E01020491,Dorset 035C,,E05012728,West Purbeck,,E06000059,Dorset,,8161
E01020493,Dorset 035E,,E05012728,West Purbeck,,E06000059,Dorset,,8170
E01020489,Dorset 035A,,E05012728,West Purbeck,,E06000059,Dorset,,8173
E01020490,Dorset 035B,,E05012728,West Purbeck,,E06000059,Dorset,,8179
